,統一編號,公司名稱,負責人,登記地址,資本額,營業項目及代碼表,縣市名稱,區域名稱,縣市區域,類別_全,官網,電話
156259,42770629,宜呈室內裝潢工程有限公司,吳O冒,桃園市八德區新興路30號,1000000,"國際貿易業, 室內裝潢, 室內輕鋼架工程業, 布疋、衣著、鞋、帽、傘、服飾品零售業, 廚具、衛浴設備安裝工程業, 建材批發業, 建材零售業, 產品設計業",桃園市,八德區,桃園市桃園區,"國際貿易業, 室內裝潢, 室內輕鋼架工程業, 布疋、衣著、鞋、帽、傘、服飾品零售業, 廚具、衛浴設備安裝工程業, 建材批發業, 建材零售業, 產品設計業",,
1261935,94502287,南都飲食店,林承民,雲林縣虎尾鎮公安里博愛路6號,,"餐廳餐館, 餐館業",雲林縣,虎尾鎮,雲林縣虎尾鎮,"餐廳餐館, 餐館業",,
1151281,82949072,台灣梯意愛克思股份有限公司,福O匡志,臺北市內湖區新湖一路81號6樓,1910000,"國際貿易業, 市場研究及民意調查業, 智慧財產權業, 產品設計業, 網路認證服務業, 資料處理服務, 資訊軟體服務, 電子資訊供應服務業",臺北市,內湖區,臺北市中山區,"國際貿易業, 市場研究及民意調查業, 智慧財產權業, 產品設計業, 網路認證服務業, 資料處理服務, 資訊軟體服務, 電子資訊供應服務業",,
1375944,37779229,家威商行,,金門縣金沙鎮汶沙里五福街42號5樓,,菸酒零售業,金門縣,金沙鎮,金門縣金沙鎮,菸酒零售業,,
923738,21583157,顏色造型美髮,楊秋好,新竹縣竹北市北崙里博愛街２３１號１樓,50000.0,美容美髮服務業,新竹縣,竹北市,新竹縣竹北市,美容美髮服務業,,
755024,78111544,福隆企業社,,南投縣埔里鎮平四街七號一樓,,"室內裝潢, 室內裝潢業, 建材零售業",南投縣,埔里,南投縣埔里,"室內裝潢, 室內裝潢業, 建材零售業",,
1040058,72845112,民欣小吃部,雷進龍,花蓮縣玉里鎮國武里興國路１段２３０之２號,,"其他餐飲, 菸酒零售業, 資訊軟體服務, 食品什貨、飲料零售業, 飲酒店業, 餐廳餐館, 餐館業",花蓮縣,玉里,花蓮縣玉里,"其他餐飲, 菸酒零售業, 資訊軟體服務, 食品什貨、飲料零售業, 飲酒店業, 餐廳餐館, 餐館業",,
683555,53577777,漢承開發股份有限公司,林昱馨,高雄市岡山區協仁街36巷5號2樓,3000000,"['住宅及大樓開發租售業', '工業廠房開發租售業', '投資興建公共建設業', '新社區開發業', '區段徵收及市地重劃代辦業', '都市更新整建維護業', '建築經理業', '不動產買賣業', '不動產租賃業', '建材批發業', '室內裝潢業']",高雄市,岡山區,高雄市岡山區,"['住宅及大樓開發租售業', '工業廠房開發租售業', '投資興建公共建設業', '新社區開發業', '區段徵收及市地重劃代辦業', '都市更新整建維護業', '建築經理業', '不動產買賣業', '不動產租賃業', '建材批發業', '室內裝潢業']",,
121369,52607719,艾綺締宅有限公司,楊正容,臺北市文山區羅斯福路5段108號,1000000,"['裝設品批發業', '五金批發業', '建材批發業', '裝設品零售業', '五金零售業', '建材零售業', '室內裝潢業', '電器安裝業', '照明設備安裝工程業', '門窗安裝工程業', '玻璃安裝工程業', '室內輕鋼架工程業', '衛浴設備安裝工程業', '配管工程業', '油漆工程業', '一般廣告服務業', '室內設計業', '不動產租賃業', '建築物清潔服務業', '無店面零售業', '國際貿易業']",臺北市,文山區,台北市文山區,"['裝設品批發業', '五金批發業', '建材批發業', '裝設品零售業', '五金零售業', '建材零售業', '室內裝潢業', '電器安裝業', '照明設備安裝工程業', '門窗安裝工程業', '玻璃安裝工程業', '室內輕鋼架工程業', '衛浴設備安裝工程業', '配管工程業', '油漆工程業', '一般廣告服務業', '室內設計業', '不動產租賃業', '建築物清潔服務業', '無店面零售業', '國際貿易業']",,
153910,65309403,旭好有限公司,張旭男,新北市新店區安忠路57巷1之9號9樓,5000000,"其他工商服務業, 國際貿易業, 無店面零售業, 資料處理服務, 資訊軟體服務, 電器批發業, 電子資訊供應服務業",新北市,新店區,新北市新店區,"其他工商服務業, 國際貿易業, 無店面零售業, 資料處理服務, 資訊軟體服務, 電器批發業, 電子資訊供應服務業",,
